Nr sklepu;WBS;Wykonawca ;Supervisior ; Backlog USD ; Backlog PLN ; Cabinets ;Zafakturowane;Dokumenty z demontaæu;Potwierdzony backlog z finansami;Demontaæ;Start montaæu - dostawa listy zmiennej i mebli;Miesiac montaæu;Miesi•c fakturowania;Numer SO;Stan;Nr projektu;Miasto dostawy;Ulica dostawy;Nr sklepu;Region;Kod pocztowy;Typ czynnika;Drzwi;Data montaæu drzwi;Data otwarcia sklepu;WydajnoòÜ gascoolera;Uwagi;TOTAL Cabinates;Regaày  nabiaà /ow;Regaày na mi©so;Regaày na ciasto;Plug-in;Komory;Lady ,stoày szafy;Bok prawy;Bok lewy;Regaày 3,75;Regaày 2,50;Regaày 1,25;Regaày inne;Regaày regenerowane 3,75;Regaày regenerowane 2,50;Regaàna ciasto systemowy ;Regaà na p•czek neutralny;Regaà na ciasto GTB CAKE 695;Regaà na ciasto GTB CAKE 1350;Zamraæarki FRICON 2500;Zamraæarki FRICON 1940;FRICON COMBI UDP zamraæarka;FRICON COMBI UDP chàodziarka;Zamraæarki ARAN;Chàodziarki ARAN;Szczyt¢wki zamraæarki;Szczyt¢wki chàodziarki;Zamraæarki regenerowane ARAN;Chàodziarki regenerowane ARAN;Szczyt¢wki regenerowane zamraæarki XTREEM;Szczyt¢wki regenerowane chàodziarkii XTREEM;Lady;Stoày;Szafy chàodnicze;Szafy mro´nicze;Komory              ( miejsca paletowe  )    chàodnia ;Komory              ( miejsca paletowe  )    mro´nia;Uwagi mro´nia;Agregat MINI CCP;QiuetCool QC MT;Komora na odpadki Mawi;Lod¢wka na socjal Gorenje;Lista podstawowa SAP;Chàodnice, Gascooler, agregat;Lista dodatkowa SAP;Na podstawie layoutu zaakceptowanego
7422;PLT01-00-227422;KLIMORS;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;n/d;13;Czerwiec;Czerwiec;7420;nowy;7422;Krosno;Podkarpacka 26;7422;T;38-400;CO2;AIFO;15.06.2022;23.06.2022;;;11;7+2;0+2;GTB 1350;10+2+3+0;8+5;;1;;7;4;;;;;;;;;;;;;10;2;3;;;;;;;;;;8;5;;1;;1;1;;;;
5322;PLT01-00-225322;KASZUBA;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;;;;11.05.2022;13;Czerwiec;Czerwiec;7414;remont;5322;Odolan¢w;ul. Krotoszy‰ska 29;5322;S;63-430;CO2;AIFO;15.06.2022;08.07.2022;;;11;8+2;0+1;GTB 1350;7+1+3+1;6+8;lada, st¢à, szafa;1;;8;3;;;;;;;;;;;;;;;3;1;7;1;;;2;1;1;;6;8;;1;;1;1;;;;
4349;PLT01-00-224349;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;26.04.2022;13;Czerwiec;Czerwiec;7376;remont;4349;Rzesz¢w;Witolda;4349;T;35-302;CO2;AIFO ren;15.06.2022;29.06.2022;;;13;7+4;1+1;GTB 1350;7+1+3+1;15+8;;1;;8;5;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
1379;PLT01-00-221379;IT 2;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;26.04.2022;13;Czerwiec;Czerwiec;10874;remont;1379;Warka;ul. Warszawska;1379;M;05-660;CO2;AIFO;15.06.2022;23.06.2022;;;12;7+3;0+2;GTB 1350;7+1+3+1;6+4;;;1;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
7206;PLT01-00-227206;FRIWEN;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;n/d;20;Czerwiec;Czerwiec;7544;nowy;7206;Nowy Wiònicz;Boche‰ska;7206;T;32-720;CO2;AIFO;23.06.2022;30.06.2022;;;10;7+2;0+1;GTB 1350;7+1+3+1;8+4;lada, st¢à, szafa;1;;;;;;;;;;;;;;;;7;1;3;1;;;;;2;1;1;;;;;;;;;;;;
1916;PLT01-00-221916;IT2;R. Jeziorski ;180 000 USD;700 201,00 zà; 11,00    ;;;;31.05.2022;20;Czerwiec;Czerwiec;11508;remont/EF;1916;Pào‰sk;ul. Rutkowskiego 1;1916;M;09-100;CO2;x;x;30.06.2022;;Meble JBG !!!!;7;7;;GTB 1350;;4;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;
4940;PLT01-00-224940;IT2;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;;;;04.05.2022;20;Czerwiec;Czerwiec;7407;remont;4940;Otwock;ul. Reymonta;4940;M;05-402;CO2;AIFO;23.06.2022;30.06.2022;;;12;8+3;0+1;GTB 1350;7+1+3+1;6+4;lada, st¢à, szafa;1;;8;4;;;;;;;;;;;;;;;3;1;7;1;;;2;1;1;;;;;;;;;;;;
4839;PLT01-00-224839;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;07.06.2022;24;Czerwiec;Czerwiec;7394;remont;4839;Ostr¢w Lubelski;Nowy ówiat 1;4839;LUB;21-110;CO2;AIFO ren;30.06.2022;05.07.2022;;;13;9+2;0+2;GTB 1350;7 ren+1 ren+3+1;6+6;;;1;7;6;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
1168;PLT01-00-221168;NIKARO;R. Jeziorski ;;; 11,00    ;;;;07.06.2022;27;Czerwiec;Lipiec;11757;remont;1168;Wàodawa;ul. Korolowska 2;1168;LUB;22-200;CO2;AIFO;30.06.2022;07.07.2022;;;12;9+2;0+1;GTB 1350;9ren+1ren+4+1;6+6;lada, st¢à, szafa;;1;6;6;;;;;;;;;;;;;;;3;1;9;1;;;;;;;;;;;;;;;;;
7460;PLT01-00-227460;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;n/d;27 (20.07);Czerwiec;Lipiec;7706;nowy;7460;Pàock;1000 lecia  MOSTY;7460;M;09-400;CO2;AIFO;26.07.2022;30.07.2022;;;13;7+4;1+1;GTB 1350;9+1+4+1;12+6;;1;;8;5;;;;;;;;;;;;;9;1;4;1;;;;;;;;;;;;;;;;;;;
6109;PLT01-00-226109;COOL-CONTROL;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;;;;n/d;20;Czerwiec;Czerwiec;7703;nowy;6109;Biaàa Podlaska;ul. Janowska;6109;LUB;21-500;CO2;AIFO;20.06.2022;07.07.2022;;;10;7+2;0+1;GTB 1350;7+1+3+1;8+4;lada, st¢l, szafa;;1;7;3;;;;;;;;;;;;;7;1;3;1;;;;;2;1;1;;8;4;;1;;;;;;;
5406;PLT01-00-225406;ROS-ZAK;R. Jeziorski;;; 11,00    ;;;;31.05.2022;4;Lipiec;Lipiec;11906;remont;5406;Piotrk¢w Trybunalski;ul. Dmowskiego 28;5406;S;97-300;FREON;AIFO ren;10.07.2022;14.07.2022;;;11;6+4;1+0;GTB 1350;7 ren+1 ren+3+1;8+5 ( zostaj•);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2799;PLT01-00-222799;RALCO;K. Caputa;180 000 USD;700 200,00 zà; 11,00    ;;;;24.05.2022;4;Lipiec;Lipiec;7385;remont;2799;Kazimierza Wielka;Kolejowa 27B;2799;T;28-500;CO2;AIFO;10.07.2022;14.07.2022;;;10;7+2;0+1;GTB 1350;9ren+1ren+4+1;10+6;lada, st¢à, szafa;1;;7;3;;;;;;;;;;;;;;;4;1;9;1;;;2;1;1;;;;;1;;1;1;;;;
3503;PLT01-00-223503;ROS-ZAK;R. Jeziorski;180 000 USD;700 200,00 zà; 11,00    ;;;;07.06.2022;11;Lipiec;Lipiec;7388;remont;3503;Kalisz;Podmiejska 32A;3503;S;62-800;CO2;AIFO;18.07.2022;21.07.2022;;;11;7+3;0+1;GTB 1350;7+1+3+1;10+6;lada, st¢à, szafa;;1;7;4;;;;;;;;;;;;;4;0;3;1;3;1;;;2;1;1;;8;6;;1;;1;1;;;;
6580;PLT01-00-226580;KLIMORS;R. Jeziorski;;; 11,00    ;;;;n/d;18;Lipiec;Lipiec;11759;nowy;6580;Skaræysko Kamienna ;Krakowska 142;6580;M;26-110;CO2;AIFO;21.07.2022;17.08.2022;;uruchomienie w dodatkowym terminie;12;8+2;0+2;GTB 1350;7+1+3+1;10+4;;1;;8;4;;;;;;;;1;;;;;7;1;3;1;;;;;;;;;10;4;;1;;1;1;;;;
1243;PLT01-00-221243;ROS-ZAK;K. Caputa;;; 11,00    ;;;;21.06.2022;18;Lipiec;Lipiec;11155;remont;1243;Mielec;Drzewieckiego 1;1243;T;39-300;FREON;AIFO ren;21.07.2022;28.07.2022;;wymiana freezer na chiller;12;8+2;0+2;GTB 1350;7+1+3+1;8+6;;;1;8;4;;;;;;;;1;;;;;;;3;1;7;1;;;;;;;8;6;;1;;1 ren;1 ren;;;;
4507;PLT01-00-224507;NIKARO;K. Caputa;;; 11,00    ;;;;31.05.2022;18;Lipiec;Lipiec;11636;remont;4507;Pruchnik;Ka‰czudzka 45;4507;T;37-560;CO2;AIFO;21.07.2022;28.07.2022;;brak dw¢ch tr¢jdroænych;11;8+2;0+1;GTB 1350;7+1+3+1;10+6;lada, st¢à, szafa;1;;6;5;;;;;;;;1;;;;;;;3;1;7;1;;;2;1;1;;10;6;;1;;1 ren;1 ren;;;;
7028;PLT01-00-227028;NIKARO;K. Caputa;107 969 USD;420 000,00 zà; 6,00    ;;;;n/d;20;Lipiec;Lipiec;7423;EF nowy;7028;Otfin¢w;DW973;7028;T;33-250;CO2;AIFO;;28.07.2022;;;7;4+3;0+0;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;4;lada, st¢à, szafa;1;;6;;;;;;;;1;;4;2;;;;;;;;;;;2;1;1;2;4;;;;2;1;1;;;;
1472;PLT01-00-221472;SERAFIN;K. Caputa;;; 11,00    ;;;v;05.04.2022;25;Lipiec;Lipiec;11769;remont;1472;Jarosàaw;Krakowska  32;1472;T;37-503;CO2;AIFO;;04.08.2022;6.5v;nowy agregat,wymiana freezer na chiller gas coler na 7v, brak tr¢jdroænych i 2 zawor¢w 60 bar;12;6+4;1+1;GTB 1350;7+1+3+1;10+4;;;1;8;5;;;;;;;;1;;;;;;;3;1;7;1;;;2;1;;;10;4;;1;;1 ren;1 ren;;;;
4297;PLT01-00-224297;ROS-ZAK;R. Jeziorski;180 000 USD;700 200,00 zà; 11,00    ;;;;07.06.2022;25;Lipiec;Lipiec;7387;remont;4297;ù¢d´;ul. Kossaka 10;4297;S;90-001;CO2;AIFO;;04.08.2022;6,5v;nowy agregat, wymiana freezer na chiller gas cooler na 6,5V;11;7+2;0+1;GTB 1350;7+1+3+1;10+8;lada, st¢à, szafa;;1;7;3;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;
4638;PLT01-00-224638;RALCO;R. Jeziorski;180 000 USD;700 200,00 zà; 12,00    ;;;;21.06.2022;25;Lipiec;Lipiec;7391;remont;4638;Konopnica;Szerokie 128;4638;LUB;20-050;CO2;AIFO;;04.08.2022;;wymiana freezer na chiller;11;6+4;0+1;GTB 1350;7+1+3+1;10+8;lada, st¢à, szafa-ren?;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4880;PLT01-00-224880;IT2;R. Jeziorski;;;;;;;05.07.2022;25;Lipiec;Lipiec;12739;remont;4880;Garwolin;Targowa 1;4880;M;08-400;CO2;AIFO;;04.08.2022;;wymiana freezer na chiller;11;7+1;0+1;GTB 1350;7ren+1ren+3+1;;lada, st¢à, szafa;;1;7;2;;;;;;;;1;;;;;;;3;1;7;1;;;2;1;1;;7;8;;1;;1;1;;;;
2695;PLT01-00-222695;IT2;K. Caputa;;; 11,00    ;;;;14.06.2022;1;Sierpie‰;Sierpie‰;12540;remont;2695;Sokoà¢w Maàopolski;Lubelska 56;2695;T;36-050;CO2;AIFO;;11.08.2022;;nowy agregat, wymiana freezer na chiller, wymiana zaworow bezp na 60 bar;12;8+2;0+2;GTB 1350;9+1+4+1;12+6;;1;;8;4;;;;;;;;1;;;;;;;3;1;7;1;;;;;;;12;6;;1;;1 ren;1 ren;;;;
4625;PLT01-00-224625;KLIMORS;K. Caputa;;; 11,00    ;;;;05.07.2022;1;Sierpie‰ ;Sierpie‰;12541;remont;4625;Miejsce Piastowe;Handlowa 4;4625;T;38-430;CO2;AIFO;;11.08.2022;;nowy agregat, wymiana freezer na chiller, zaw¢r tr¢jdroæny 2 szt i 2 szt. 60bar - jeszcze do wymiany;12;8+2;0+2;GTB 1350;7ren+1ren+3+1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3091;PLT01-00-223091;KASZUBA;K. Caputa;;;;;;;28.06.2022;1;Sierpie‰;Sierpie‰;11995;remont;3091;Rzesz¢w ;Kwiatkowskiego 2A;3091;T;35-311;FREON;AIFO ren;;11.08.2022;;;14;4+8;0+2;;10ren+2ren+0+0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2204;PLT01-00-222204;IT2;R. Jeziorski;;; 11,00    ;;;;05.07.2022;8;Sierpie‰;Sierpie‰;12855;remont;2204;Piotrk¢w Trybunalski;ul. Sienkiewicza 19;2204;S;97-300;CO2;AIFO ren;;18.08.2022;;;11;8+2;0+1;GTB 1350;9ren+1ren+4+1;12+6;lada, st¢à, szafa;1;;7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4550;PLT01-00-224550;FRIWEN;R. Jeziorski;;; 11,00    ;;;;05.07.2022;8;Sierpie‰ ;Sierpie‰;12856;remont;4550;Pàock ;ul. Czwartak¢w 9;4550;M;09-410;CO2;AIFO;;18.08.2022;;;10;7+2;0+1;GTB 1350;7ren+1ren+3+1;;lada, st¢à, szafa;;1;6;3;;;;;;;;1;;;;;;;3;1;7;1;;;2;1;1;;8;6;;1;;1;1;;;;
2314;PLT01-00-222314;ROS-ZAK;R. Jeziorski;;; 11,00    ;;;;05.07.2022;8;Sierpie‰;Sierpie‰;12542;remont;2314;Lublin;ul. Jana Sawy 1A;2314;LUB;20-632;CO2;AIFO;;18.08.2022;;;9;8+0;0+1;GTB 1350;9+1+1+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4766;PLT01-00-224766;KLIMORS;R. Jeziorski;;; 11,00    ;;;;12.07.2022;8;Sierpie‰;Sierpie‰;12858;remont;4766;Radom;ul. Mireckiego 14-16;4766;M;26-610;CO2;AIFO;;18.08.2022;;;11;6+4;0+1;GTB 1350;9+1+4+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;PLT01-00-221872;RALCO;R. Jeziorski;;;;;;;12.07.2022;12;Sierpie‰;Sierpie‰;13002;remont;1872;Bàonie;ul. Powsta‰c¢w 18A;1872;M;05-871;FREON;AIFO ren;;25.08.2022;;;11;7+2;0+1;GTB 1350;7ren+1ren+3+1;12+;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1584;PLT01-00-221584;ROS-ZAK;R. Jeziorski;;;;;;;11.07.2022;12;Sierpie‰;Sierpie‰;13004;remont;1584;ù¢d´;ul. Haòka 11;1584;S;92-501;FREON;AIFO ren;;25.08.2022;;;11;9+1;0+1;GTB 1350;11ren+1ren+5+1ren;8+6;lada, st¢à, szafa;1;;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;
2294;PLT01-00-222294;ROS-ZAK;R. Jeziorski;;; 11,00    ;;;;11.07.2022;16;Sierpie‰;Sierpie‰;13009;remont;2294;ù¢d´;ul. Aleksandrowska 58;2294;S;91-120;FREON;AIFO ren;;25.08.2022;;;10;6+4;0+1;GTB 1350;7ren+1ren+3+1ren;10+8;lada, st¢à, szafa;;1;7;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2475;PLT01-00-222475;HOME TRADE;K. Caputa;;; 11,00    ;;;;05.07.2022;16;Sierpie‰;Sierpie‰;12543;remont;2475;Radymno;Lwowska 9;2475;T;37-550;FREON;AIFO ren;;25.08.2022;;;10;7+3;0+2;GTB 1350;7ren+1ren+3+1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1421;PLT01-00-221421;KLIMORS;K. Caputa;;; 11,00    ;;;;12.07.2022;16;Sierpie‰;Sierpie‰;12544;remont;1421;Rzesz¢w;Rejtana 51;1421;T;35-236;CO2;AIFO;;25.08.2022;;4 zawory bezp do wymiany;12;7+3;0+2;GTB 1350;10+2+3+0;6+5;-;;1;7;5;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;1;;1;1;;;;
2077;PLT01-00-222077;ROS-ZAK;R. Jeziorski;;; 11,00    ;;;;14.06.2022;22;Sierpie‰;Sierpie‰;11994;remont;2077;Turek;ul. Nowa 22;2077;S;62-703;FREON;AIFOren;;01.09.2022;;;10;7+3;0+1;GTB 1350;7ren+1ren+3+1;10+6;lada, st¢à, szafa;;1;6;4;;;;;;;;;;;;;;;;;;;;;;1;;;10;6;;1;;;;;;;
7077;PLT01-00-227077;ROSZAK;R. Jeziorski;;;;;;;n/d;22;Sierpie‰;Sierpie‰;12853;EF;7077;Odrzyw¢à;Warszawska;7077;M;26-425;CO2;AIFO;;15.09.2022;;Bolarus mobile 1300 ;6;4+2;0+0;GTB 1350;4 x FRICON 2500+ 1 x FRICON 1900;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6972;PLT01-00-226972;IT2;R. Jeziorski;107 969 USD;420 000,00 zà; 6,00    ;;;;n/d;23;Sierpie‰;Sierpie‰;7543;EF;6972;Rzeczni¢w;Rzeczni¢w 140B;6972;LUB;27-353;CO2;AIFO;;15.09.2022;;;7;4+3;0+0;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;4;lada, st¢à, szafa;;;6;;;;;;;;1;;4;2;;;;;;;;;;;2;1;1;2;4;;;;2;1;1;;;;
2201;PLT01-00-222201;RALCO;R. Jeziorski;;; 11,00    ;;;;19.07.2022;22;Sierpie‰;Sierpie‰;12545;remont;2201;Kur¢w;Kili‰skiego 8;2201;LUB;24-170;CO2;AIFO;;01.09.2022;6,5v;Gas-coler 6,5v;9;6+2;0+1;GTB 1350;8+0+0+2;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7093;PLT01-00-227093;COOL CONTROL;R. Jeziorski;;;;;;;n/d;5;Wrzesie‰;Sierpie‰;13042;EF nowy;7093;Firlej ;Cmentarna;7093;LUB;21-136;CO2;AIFO;;15.09.2022;;;7;4+3;0+0;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
5292;PLT01-00-225292;ROS-ZAK;;;;;;;;09.08.2022;12;Wrzesie‰ ;Wrzesie‰ ;13590;remont;5292;Lublin;ul. Lotnicza 5;5292;LUB;20-354;FREON;AIFO ren;;17.09.2022;;zamraæarka NOVUM 602;ren12;7+4;1+0;GTB 1350;ren8+0+4+0;;ren(lada, st¢à, szafa);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
5183;PLT01-00-225183;COOL CONTROL;;;;;;;;09.08.2022;12;Wrzesie‰ ;Wrzesie‰ ;12656;remont;5183;ùaszcz¢w;ul. Dworcowa 11;5183;LUB;22-650;CO2;AIFO;;16.09.2022;;;12;8+2;0+2;GTB 1350;ren7+ren1+3+1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
1799;PLT01-00-221799;RALCO;;;;;;;;17.08.2022;19;Wrzesie‰;Wrzesie‰;12551;remont;1799;Krosno;Bohater¢w Westerplatte 20B;1799;T;38-400;CO2;AIFO;;29.09.2022;6.5v;4 zawory bezp do wymiany;11;8+2;0+1;GTB 1350;ren7+ren1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
7342;PLT01-00-227342;KLIMORS;;;;;;;;n/d;19;Wrzesie‰;Wrzesie‰;14693;nowy;7342;Klimont¢w;DK9;7342;T;27-640;CO2;AIFO;;11.10.2022;;2 bezp zawory do wymiany;10;7+2;0+1;GTB 1350;7+1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
4957;PLT01-00-224957;ROS-ZAK;;;;;;;;23.08.2022;26;Wrzesie‰;Wrzesie‰ ;12553;remont;4957;Rzesz¢w;Straæacka 27E;4957;T;35-312;FREON;AIFO ren;;06.10.2022;;;ren11;7+3;0+1;GTB 1350;ren9+ren1+4+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1426;PLT01-00-221426;COOL CONTROL;;180 000 USD;700 200,00 zà; 12,00    ;;;;23.08.2022;26;Wrzesie‰ ;Wrzesie‰ ;12556;remont;1426;Mi©dzyrzec Podlaski ;Brzeska 31;1426;LUB;21-560;CO2;AIFO;;06.10.2022;;zawory bezpieczestwa do wymiany ;11;9+0;0+2;GTB 1350;ren8+0+2+0;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
7390;PLT01-00-227390;IT2;;;;;;;;n/d;3;Pa´dziernik;Pa´dziernik;12817;nowy;7390;Stalowa Wola;ul. Przemysàowa;7390;LUB;37-450;CO2;AIFO;;27.10.2022;;;10;7+2;0+1;GTB 1350;7+1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
5067;PLT01-00-225067;RALCO;;;;;;;;30.08.2022;10;Pa´dziernik;Pa´dziernik;14543;remont;5067;Bobowa;Grunwaldzka 50;5067;T;38-350;CO2;AIFO;;20.10.2022;6.5v;;12;8+2;1+1;GTB 1350;ren8+0+2+0;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
7438;PLT01-00-227438;ROS-ZAK;;;; 11,00    ;;;;n/d;13;Pa´dziernik;Pa´dziernik;14898;nowy;7438;Jodàowa;889b;7438;T;39-225 ;CO2;AIFO;;27.10.2022;;;11;7+3;0+1;GTB 1350;7+1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
4067;PLT01-00-224067;COOL CONTROL;;;;;;;;13.09.2022;17;Pa´dziernik;Pa´dziernik;14719;remont;4067;Drohiczyn;Mieszka I 6;4067;LUB;17-312;CO2;AIFO;;27.10.2022;;;11;6+4;0+1;GTB 1350;ren7+ren1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
1757;PLT01-00-221757;ROS-ZAK;;;; 11,00    ;;;;30.08.2022;17;Pa´dziernik;Pa´dziernik;14555;remont;1757;Parczew;Wojska Polskiego 2;1757;LUB;21-200;CO2;AIFO;;17.11.2022;;;11;4+6;0+1;GTB 1350;ren11+ren1+1+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
2480;PLT01-00-222480;ROS-ZAK;;;;;;;;30.08.2022;18;Pa´dziernik;Pa´dziernik;14529;remont;2480;Jedlicze;Sienkiewicza;2480;T;38-460;FREON;AIFO ren;;27.10.2022;;;ren12;8+2;0+2;-;ren7+ren1+3+1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3538;PLT01-00-223538;RALCO;;;;;;;;06.09.2022;24;Pa´dziernik;Pa´dziernik;14710;remont;3538;Sokoà¢w Podlaski;Kolejowa 1;3538;LUB;08-300;CO2;AIFO ren;;04.11.2022;;;11;8+2;0+1;GTB 1350;ren7+ren1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
7582;PLT01-00-227582;IT2;;;;;;;;n/d;24;Pa´dziernik;Pa´dziernik;14708;nowy;7582;Tarn¢w;D•browskiego 10;7582;T;33-100;CO2;AIFO;;22.11.2022;;;13;8+3;0+2;GTB 1350;7+1+3+1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
4613;PLT01-00-224613P;KLIMORS;;;;;;;;20.09.2022;7;Listopad;Listopad;12549;remont;4613;Bàaæowa;Armii Krajowej 39B;4613;T;36-030;CO2;AIFO;;17.11.2022;;;13;7+4;1+1;GTB 1350;ren7+ren1+3+1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
2967;PLT01-00-222967;ROS-ZAK;;;;;;;;04.10.2022;7;Listopad;Listopad;14776;remont;2967;Lublin;Ruciana 4;2967;LUB;20-539;CO2;AIFO;;17.11.2022;;;12;7+3;0+2;GTB 1350;ren9+ren1+4+1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
7516;PLT01-00-227516;ROS-ZAK;;;;;;;;n/d;3;Listopad;Listopad;14902;nowy;7516;Opat¢w;1 Maja;7516;LUB;27-500;CO2;AIFO;;17.11.2022;;;11;7+2;0+1;GTB 1350;7+1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
7057;PLT01-00-227057;COOL CONTROL;;;;;;;;n/d;3;Listopad;Listopad;14904;EF 650;7057;Mordy;;7057;LUB;08-140;CO2;AIFO;;06.12.2022;;;6;6+0;0;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;+
7502;PLT01-00-227502;IT2;;;;;;;;n/d;7;Listopad;Listopad;14900;nowy;7502;Tuch¢w;Adama Mickiewicza 73;7502;T;33-170;CO2;AIFO;;29.11.2022;;;12;8+2;0+2;GTB 1350;7+1+3+1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;
3714;PLT01-00-223714;KLIMORS;;;;;;;;18.10.2022;21;Listopad;Grudzie‰;16945;remont;3714;Lublin;Diamentowa 19I-H;3714;LUB;20-447;CO2;AIFO;;01.12.2022;;;12;8+3;1+0;GTB 1350;ren8+0+4+0;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;
7318;PLT01-00-227318;ROS-ZAK;;180 000 USD;700 200,00 zà; 11,00    ;;;;n/d;28;Listopad;Listopad;7545;nowy;7318;Markowa;Markowa 164;7318;T;37-120;CO2;AIFO;;30.11.2022;;;12;8+2;0+2;GTB 1350;7+1+3+1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;
5299;PLT01-00-225299;IT2;;;;;;;;18.10.2022;5;Grudzie‰;Grudzie‰;16947;remont;5299;Jasào;Mickiewicza 108;5299;T;38-211;CO2;AIFO;;15.12.2022;;;12;8+2;0+2;GTB 1350;7+1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5450;PLT01-00-225450;KLIMORS;;;;;;;;18.10.2022;5;Grudzie‰;Grudzie‰;14909;remont;5450;Czch¢w;Krakowska 24;5450;T;32-860;CO2;AIFO;;15.12.2022;;;13;7+4;1+1;GTB 1350;7+1+3+1;;lada, st¢à, szafa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;
