Nr sklepu;WBS;Wykonawca ;Supervisior ; Backlog USD ; Backlog PLN ; Cabinets ;Zafakturowane;Dokumenty z demontaæu;Potwierdzony backlog z finansami;Demontaæ;Start montaæu - dostawa listy zmiennej i mebli;Miesiac montaæu;Miesi•c fakturowania;Numer SO;Stan;Nr projektu;Miasto dostawy;Ulica dostawy;Nr sklepu;Region;Kod pocztowy;Typ czynnika;Drzwi;Data montaæu drzwi;Data otwarcia sklepu;WydajnoòÜ gascoolera;Uwagi;TOTAL Cabinates;Regaày  nabiaà /ow;Regaày na mi©so;Regaày na ciasto;Plug-in;Komory;Lady ,stoày szafy;Bok prawy;Bok lewy;Regaày 3,75;Regaày 2,50;Regaày 1,25;Regaày inne;Regaày regenerowane 3,75;Regaày regenerowane 2,50;Regaàna ciasto systemowy ;Regaà na p•czek neutralny;Regaà na ciasto GTB CAKE 695;Regaà na ciasto GTB CAKE 1350;Zamraæarki FRICON 2500;Zamraæarki FRICON 1940;FRICON COMBI UDP zamraæarka;FRICON COMBI UDP chàodziarka;Zamraæarki ARAN;Chàodziarki ARAN;Szczyt¢wki zamraæarki;Szczyt¢wki chàodziarki;Zamraæarki regenerowane ARAN;Chàodziarki regenerowane ARAN;Szczyt¢wki regenerowane zamraæarki XTREEM;Szczyt¢wki regenerowane chàodziarkii XTREEM;Lady;Stoày;Szafy chàodnicze;Szafy mro´nicze;Komory              ( miejsca paletowe  )    chàodnia ;Komory              ( miejsca paletowe  )    mro´nia;Uwagi mro´nia;Agregat MINI CCP;QiuetCool QC MT;Komora na odpadki Mawi;Lod¢wka na socjal Gorenje;Lista podstawowa SAP;Chàodnice, Gascooler, agregat;Lista dodatkowa SAP;Na podstawie layoutu zaakceptowanego
7308;PLT01-00-227308;IT 2;R. Jeziorski ;180 000 USD;700 200,00 zà; 10,00    ;x;;;n/d;21;Luty;Marzec;4987;nowy;7308;Kleszcz¢w;Sportowa;7308;S;97-410;CO2;AIFO;25.02.2022;31.03.2022;;;11;6+3;0+1;GTB 1350;7+1+3+1;10+6;lada, st¢à, szafa;1;;;;;;;;;;;;;;;;7;1;3;1;;;;;;;;;;;;;;;;;;;
3392;PLT01-00-223392;FRIWEN;R. Jeziorski ;178 875 USD;695 822,00 zà; 12,00    ;x;x;;25.01.2022;28;Luty;Marzec;4978;remont;3392;ZamoòÜ;ul. Peowiak¢w;3392;LUB;22-400;CO2;AIFO ren;04.03.2022;10.03.2022;;;11;8+2;0+2;GTB 1350;7 ren+1 ren+3+1;8+6;;1;;8;4;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
4449;PLT01-00-224449;NIKARO;R. Jeziorski ;184 611 USD;718 136,00 zà; 13,00    ;x;x;;25.01.2022;28;Luty;Marzec;4979;remont;4449;Przemyòl ;Lwowska 17A;4449;T;37-700;CO2;AIFO ren;04.03.2022;10.03.2022;;;11;7+4;1+1;GTB 1350;7 ren+1 ren+3+1;10+7;;1;;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
5189;PLT01-00-225189;ROS-ZAK;R. Jeziorski ;152 370 USD;592 718,00 zà; 9,00    ;x;x;;07.02.2022;9;Marzec;Marzec;6377;remont;5189;Sulej¢wek;ul. Naàkowskiej;5189;M;05-070;CO2;AIFO ren;14.03.2022;24.03.2022;;;11;8+0;1+0;GTB 1350;8+2 (+);6+9;;1;;;;;;;;;;;;;;;;7;;;;1;;;2;;;;;;;;;;;;;;;
4503;PLT01-00-224503;KLIMORS;R. Jeziorski ;188 896 USD;734 806,00 zà; 11,00    ;x;x;;25.01.2022;14;Marzec;Kwiecie‰;5540;remont;4503;Brzeziny;Kielecka 29A;4503;T;23-026;CO2;AIFO ren;18.03.2022;24.03.2022;;;11;8+2;0+1;GTB 1350;7 ren+1 ren+3+1;15+9;lada, st¢à, szafa;;1;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
4669;PLT01-00-224669;FRIWEN;R. Jeziorski ;199 808 USD;777 255,00 zà; 11,00    ;x;x;;08.02.2022;14;Marzec;Kwiecie‰;5821;remont;4669;Mielec;Legion¢w 80;4669;T;39-300;CO2;AIFO ren;18.03.2022;24.03.2022;;;11;6+4;0+1;GTB 1350;11 ren+1 ren+5+1;12+9;lada, st¢à, szafa;1;;;;;;;;;;;;;;;;;;5;1;11;1;;;;;;;;;;;;;;;;;
4872;PLT01-00-224872;IT 2;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;x;x;;31.01.2022;21;Marzec;Kwiecie‰;5823;remont;4872;Pi•tek;ul. Stodolniana;4872;M;99-120;CO2;AIFO ren;24.03.2022;31.03.2022;;;11;6+5;0+1;GTB 1350;7 ren+1 ren +3 +1;10+8;lada, st¢à, szafa;1;;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
3536;PLT01-00-223536;FRIWEN;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;x;x;;14.02.2022;21;Marzec;Kwiecie‰;5824;remont;3536;Pào‰sk;ul. Rzemieòlnicza;3536;M;09-100;CO2;AIFO ren;24.03.2022;31.03.2022;;;11;8+3;0+1;GTB 1350;7 ren+1 ren+3+1;10+10;lada, st¢à, szafa;1;;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
3030;PLT01-00-223030;RALCO;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;x;x;;08.02.2022;21;Marzec;Kwiecie‰;5825;remont;3030;ù¢d´;ul. Prz©dzalniana 124;3030;S;93-286;CO2;AIFO ren;26.03.2022;31.03.2022;;brak gas coolera od Narsa ;11;6+5;0+1;GTB 1350;11 ren + 1 ren + 2 + 1;8+6;lada, st¢à, szafa;;1;;;;;;;;;;;;;;;;;2;1;11;1;;;;;;;;;;;;;;;;;
4530;PLT01-00-224530;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;x;x;;15.02.2022;21;Marzec;Kwiecie‰;5773;remont;4530;Jarosàaw;Sp¢àdzielcza 3;4530;T;;CO2;AIFO ren;25.03.2022;31.03.2022;;;11;8+2;0+2;GTB 1350;7 ren+1 ren +3 +1;;;;1;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
